TIMESTAMP,Tair,RH,WS,WD,STemp,SRad,ETo,Ea,Td,Precip
2019-01-01 01:00:00,4.1,55.0,4.5,348.0,9.3,0.0,0.05,0.4,-4.2,0.0
2019-01-01 02:00:00,4.1,53.0,4.6,346.0,9.3,0.0,0.05,0.4,-4.7,0.0
2019-01-01 03:00:00,4.5,50.0,5.8,343.0,9.2,0.0,0.07,0.4,-5.1,0.0
2019-01-01 04:00:00,5.1,44.0,6.9,345.0,9.2,0.0,0.09,0.4,-6.1,0.0
2019-01-01 05:00:00,5.1,43.0,6.6,338.0,9.2,0.0,0.09,0.4,-6.3,0.0
2019-01-01 06:00:00,5.2,42.0,8.0,339.0,9.1,0.0,0.11,0.4,-6.6,0.0
2019-01-01 07:00:00,5.2,41.0,8.0,340.0,9.1,0.0,0.11,0.4,-7.0,0.0
2019-01-01 08:00:00,5.3,41.0,7.2,347.0,9.0,26.0,0.12,0.4,-7.0,0.0
2019-01-01 09:00:00,6.0,40.0,6.5,349.0,9.0,142.0,0.17,0.4,-6.5,0.0
2019-01-01 10:00:00,7.4,39.0,6.3,344.0,8.9,302.0,0.21,0.4,-5.7,0.0
2019-01-01 11:00:00,8.8,36.0,8.2,346.0,8.9,408.0,0.32,0.4,-5.6,0.0
2019-01-01 12:00:00,10.0,32.0,8.3,347.0,8.8,473.0,0.37,0.4,-5.8,0.0
2019-01-01 13:00:00,11.4,28.0,6.9,350.0,8.8,482.0,0.38,0.4,-6.5,0.0
2019-01-01 14:00:00,12.2,25.0,6.1,345.0,8.8,443.0,0.34,0.4,-7.1,0.0
2019-01-01 15:00:00,12.1,29.0,5.7,342.0,8.7,313.0,0.26,0.4,-5.5,0.0
2019-01-01 16:00:00,12.0,29.0,4.5,340.0,8.8,165.0,0.16,0.4,-5.6,0.0
2019-01-01 17:00:00,11.5,29.0,3.1,326.0,8.8,48.0,0.1,0.4,-5.9,0.0
2019-01-01 18:00:00,9.9,33.0,2.7,326.0,8.8,1.0,0.05,0.4,-5.6,0.0
2019-01-01 19:00:00,8.9,36.0,2.5,337.0,8.8,0.0,0.05,0.4,-5.4,0.0
2019-01-01 20:00:00,7.3,40.0,1.1,34.0,8.9,0.0,0.02,0.4,-5.4,0.0
2019-01-01 21:00:00,5.1,55.0,0.7,64.0,8.9,0.0,0.01,0.5,-3.3,0.0
2019-01-01 22:00:00,3.8,61.0,0.8,125.0,8.9,0.0,0.0,0.5,-3.0,0.0
2019-01-01 23:00:00,3.2,64.0,1.1,147.0,8.9,0.0,0.0,0.5,-2.8,0.0
2019-01-02 00:00:00,2.3,69.0,1.1,122.0,8.9,0.0,0.0,0.5,-2.8,0.0
2019-01-02 01:00:00,2.5,75.0,1.6,130.0,8.9,0.0,0.01,0.5,-1.5,0.0
2019-01-02 02:00:00,1.8,80.0,0.8,144.0,8.9,0.0,0.0,0.6,-1.3,0.0
2019-01-02 03:00:00,1.2,84.0,0.7,184.0,8.9,0.0,0.0,0.6,-1.2,0.0
2019-01-02 04:00:00,-0.3,91.0,0.8,329.0,8.9,0.0,0.0,0.5,-1.5,0.0
2019-01-02 05:00:00,-0.4,91.0,0.7,350.0,8.8,0.0,0.0,0.5,-1.7,0.0
2019-01-02 06:00:00,-0.9,93.0,0.7,292.0,8.8,0.0,0.0,0.5,-1.9,0.0
2019-01-02 07:00:00,-1.1,93.0,0.9,294.0,8.8,0.0,0.0,0.5,-2.0,0.0
2019-01-02 08:00:00,-1.1,93.0,0.8,333.0,8.7,21.0,0.0,0.5,-2.1,0.0
2019-01-02 09:00:00,0.5,91.0,1.0,275.0,8.7,136.0,0.05,0.6,-0.8,0.0
